ALERT_EVENT_ID,ALERT_EVENT_LAST_UPDATED,CUSTOMER_NO,CUSTOMER_NAME,CUSTOMER_SITE_NO,CUSTOMER_SITE_NAME,SITE_ADDRESS,CONTRACT_NO,EVENT_TIME,ALERT_ID,EVENT_TYPE,HWID,HWID_TYPE,LOOP,ALERT_TYPE,Priority,LOG_ONLY,EVENT_DESCRIPTION,WORKORDER_NO,EVENT_CLOSED_TIME,LOCATION_ID,LOCATION_TABLE_ID,LOCATION_LAST_UPDATED,IVA_NO,STATUS
5701,2026-06-01 07:00:01.533,100000413,Valmet Technologies Oy,998389833,Lentokentänkatu 11,Lentokentänkatu 11 33900 Tampere FINLAND,10108694,2025-04-13 13:45:12.000,5162501,Hälytys,G00000005045,K2 vastaanotin,"     1",HÄLYT,60,,"Sarankulman kiinteistö, PRI:1, PALAUTUNUT, 13.04.2025 13.45.02, JJ01TE55 Vaihtimelta paluu normaali, palautunut",NULL,2025-04-13 13:46:39.000,4218,4218,2026-06-01 07:00:01.063,005101,Valvonnassa
5702,2026-06-01 07:00:01.533,100000413,Valmet Technologies Oy,998389833,Lentokentänkatu 11,Lentokentänkatu 11 33900 Tampere FINLAND,10108694,2025-04-13 13:45:12.000,5162501,Hälytys,G00000005045,K2 vastaanotin,"     1",HÄLYT,60,,"Sarankulman kiinteistö, PRI:1, PALAUTUNUT, 13.04.2025 13.45.02, JJ01TE55 Vaihtimelta paluu normaali, palautunut",NULL,2025-04-13 13:46:39.000,4219,4219,2026-06-01 07:00:01.063,005101,Valvonnassa
8435,2026-06-01 07:00:01.533,100279959,Valmet Flow Control Oy,999488386,Toimistotalo,Vanha Porvoontie 229 01380 Vantaa FINLAND,100097484,2025-12-04 13:27:47.000,5855402,Hälytys,S000223-00047,Alerta,"     2",PALOVIK,77,,/Palolaitevika,NULL,2025-12-04 14:51:25.000,3147,3147,2026-06-01 07:00:01.063,005454,Valvonnassa
8436,2026-06-01 07:00:01.533,100279959,Valmet Flow Control Oy,999488386,Toimistotalo,Vanha Porvoontie 229 01380 Vantaa FINLAND,100097484,2025-12-04 13:27:47.000,5855402,Hälytys,S000223-00047,Alerta,"     2",PALOVIK,77,,/Palolaitevika,NULL,2025-12-04 14:51:25.000,3148,3148,2026-06-01 07:00:01.063,005454,Valvonnassa
8437,2026-06-01 07:00:01.533,100279959,Valmet Flow Control Oy,999488386,Toimistotalo,Vanha Porvoontie 229 01380 Vantaa FINLAND,100097484,2025-12-04 13:27:47.000,5855402,Hälytys,S000223-00047,Alerta,"     2",PALOVIK,77,,/Palolaitevika,NULL,2025-12-04 14:51:25.000,3149,3149,2026-06-01 07:00:01.063,005454,Valvonnassa
8438,2026-06-01 07:00:01.533,100279959,Valmet Flow Control Oy,999488386,Toimistotalo,Vanha Porvoontie 229 01380 Vantaa FINLAND,100097484,2025-12-04 13:27:47.000,5855402,Hälytys,S000223-00047,Alerta,"     2",PALOVIK,77,,/Palolaitevika,NULL,2025-12-04 14:51:25.000,3150,3150,2026-06-01 07:00:01.063,005454,Valvonnassa
8439,2026-06-01 07:00:01.533,100279959,Valmet Flow Control Oy,999488386,Toimistotalo,Vanha Porvoontie 229 01380 Vantaa FINLAND,100097484,2025-12-04 13:27:47.000,5855402,Hälytys,S000223-00047,Alerta,"     2",PALOVIK,77,,/Palolaitevika,NULL,2025-12-04 14:51:25.000,3141,3141,2026-06-01 07:00:01.063,005454,Valvonnassa
8440,2026-06-01 07:00:01.533,100279959,Valmet Flow Control Oy,999488386,Toimistotalo,Vanha Porvoontie 229 01380 Vantaa FINLAND,100097484,2025-12-04 13:27:47.000,5855402,Hälytys,S000223-00047,Alerta,"     2",PALOVIK,77,,/Palolaitevika,NULL,2025-12-04 14:51:25.000,3142,3142,2026-06-01 07:00:01.063,005454,Valvonnassa
8441,2026-06-01 07:00:01.533,100279959,Valmet Flow Control Oy,999488386,Toimistotalo,Vanha Porvoontie 229 01380 Vantaa FINLAND,100097484,2025-12-04 13:27:47.000,5855402,Hälytys,S000223-00047,Alerta,"     2",PALOVIK,77,,/Palolaitevika,NULL,2025-12-04 14:51:25.000,3143,3143,2026-06-01 07:00:01.063,005454,Valvonnassa
8442,2026-06-01 07:00:01.533,100279959,Valmet Flow Control Oy,999488386,Toimistotalo,Vanha Porvoontie 229 01380 Vantaa FINLAND,100097484,2025-12-04 13:27:47.000,5855402,Hälytys,S000223-00047,Alerta,"     2",PALOVIK,77,,/Palolaitevika,NULL,2025-12-04 14:51:25.000,3144,3144,2026-06-01 07:00:01.063,005454,Valvonnassa
